id,text
1074936787867443200,3 of 5 stars to Echo Burning by Lee Child https://t.co/LsZeODtAIL
1051019214130171905,5 of 5 stars to Running Blind by Lee Child https://t.co/NsXFs9zjQO
1049040216927993856,5 of 5 stars to Tripwire by Lee Child https://t.co/KEXVDvQI03
1045583391012327424,5 of 5 stars to The Creative Habit by Twyla Tharp https://t.co/oYHHoXiGEw
1045119734314913793,3 of 5 stars to The Art of War by Sun Tzu https://t.co/ozEngQZ2NC
1044230142120394753,5 of 5 stars to Killing Floor by Lee Child https://t.co/MaXHCLdckJ
1043034638497660929,3 of 5 stars to Where Good Ideas Come From by Steven Johnson https://t.co/k2abFDiuuC
1041419902580604931,5 of 5 stars to The User's Journey by Donna Lichaw https://t.co/wG0GElPaB6
1040502040168988673,3 of 5 stars to The Art of War by Sun Tzu https://t.co/ozEngQZ2NC
1040024939364003840,4 of 5 stars to Introducing Emotional Intelligence by David Walton https://t.co/f2Yk2ypY2P
