id,text
977578252091908096,Understanding HOW Chords Match! LIVE Webcast Join Us Now (Giveaways) https://t.co/q86xFlHoHf #yourguitarsage #giveaway
941289163793555457,@AddisonAgen And we are so blessed to have found someone like you. You have no idea what you do to people. The power of your passion moves us. Thank you!
940762279766888449,@adamlevine @NBCTheVoice Go Adam Go!!!!
940762174967943168,RT @adamlevine: RT now to #VoiceSaveAdam
940761618190913536,#VoiceSaveAdam
940753580935598080,@AddisonAgen just one more hurdle to go. You deserve every bit if this.#TheVoiceResults
940714306781548544,"@AddisonAgen Hope you make through.But in the event you don’t, I wouldn’t worry. You career path is wide open. Personnaly I already bought your album and your The Voice performances. I am already a full fledge fan. #AddisonAgenFans"
940712339615166464,@NBCTheVoice @nbc #AddisonKeishaduet
940712122387976192,@NBCTheVoice @nbc Addison has to go through.  😰😰😰
940408027756232704,#AddisonKeishaduet
