id,text
1074775926678962184,"RT @sutherland_case: The Ranch
Rt for Rooster
Like for Luke"
1074775890389819394,RT @shanedawson: i never retweet stuff like this because it makes me feel weird but this article made me cry. it really put this year in pe…
1074775831241768968,RT @realDonaldTrump: Today I am making good on my promise to defend our Farmers &amp; Ranchers from unjustified trade retaliation by foreign na…
1074765632871247873,"RT @jamescharles: please stop showing up at my house. i will not hug you, i will not take a photo with you, and i absolutely will not sign…"
1074719058128453633,RT @Realbrianaroy: Arguing thru text will have you standing in one spot for 45 mins 😂
1074718506661367808,RT @CaucasianJames: i would’ve gone harder during 2nd grade spelling class if i knew this many people would see my spelling errors
1074541515089895424,RT @wademily: this is actually how orientation leaders act when incoming freshmen show up https://t.co/Khc9WBe1Hp
1074496067625017344,RT @heyy_its_payy: Rt if you heavily relate to the Grinch because same. https://t.co/kZUDDKA3w0
1074495618024988673,RT @thegreatkhalid: I was too lit 😂😂😭 https://t.co/Q6r3BwRCi3
1074417452627431424,@sarah__graceee HAPPY BIRTHDAY
