id,text
1074718230621626368,@Toyokawaaa quelle prouesse de la part de ta tante
1074452155904548864,RT @animxe: I'm getting off twitter https://t.co/D7vOp9F34M
1074383191274913792,@MnKway @this_vid
1074379811299180544,@XboxFR merhmoud le chacal car il graille les culs de toutes les cow girls
1074359365375836161,"RT @rolanbogoss: -allo? 
-a l'huile 
 https://t.co/cRsDPIUTNZ"
1074247670951239680,"Killua, Feitan &gt; all https://t.co/5TRUoRvljU"
1074072906861346816,"@Toyokawaaa @Miuuzz @Dunnodiss elle se trouve pas à lundi, elle se trouve chez mon père plutôt"
1074072802095976453,"@Toyokawaaa @Miuuzz @Dunnodiss ça sera minimum lundi, ma carte se trouve là-bas"
1074072200414666757,@Toyokawaaa @Miuuzz pas besoin de lèvres pulpeuse pour piper hugo
1074071804568854529,@Toyokawaaa @Miuuzz @Dunnodiss un peu beaucoup
