id,text
1072729527829315584,"RT @OpenNewsSA: Open News anchor @KoketsoSachane shares his thoughts on BLF leader, Andile Mngxitama's ""racist"" comments.  #AndileMngxitama…"
1067707253304827904,RT @leAno_39140: This man just manned up..... and he is telling the truth. He has won my heart. He is honest this man. Thanks 🙏 @jsteenhuis…
1067442864123191296,@Amorersg @zarsg Ek het my seuns geleer om altyd soos n ware heer op te https://t.co/XBmCAGenBZ die tyd wat ons leef van politieke korrektheid en geslagsgelykheid is dit nog relevant?
1064164095505694726,"RT @yolo_dana: University of Fort Hare rugby players bought their cleaning lady some groceries. Oh no, I’m not crying at all😩🙏🏾 https://t.c…"
1063676331106406400,@WandileSihlobo Congratulations!!
1062989208078467072,RT @Paratus2014: EWC pertains to all property rights. Your house. Your car. The money in your bank account. Your furniture. Everything. The…
1061520672776687616,RT @SimonPGrindrod: https://t.co/ISkzPljRqd
1061330262381002753,"RT @suzydymna: Rev Brenda Lee, was a Christian journalist for the Georgia Informer. In 2009, Obama was so scared of questions by her that h…"
1061251191064145920,RT @JuiceTooWavie: Condoms dont really guarantee full protection during sex. A friend of mine was wearing one and he got shot by the girls…
1058616361394626560,RT @pierredevos: Etolls is a national competence so a party who says it will scrap it if it wins power in Gauteng is misleading public. SA…
