id,text
1074779348815806464,"@DireitaBrasil @pauloap Vai sumir na poeira, só espera"
1074778110304890880,"RT @KTHopkins: This is now ‘Hannah’ Moucey. 

‘She’ identifies as a woman.

‘She’ is 6′ 3, 250 lbs, allowed to play in the women’s division…"
1074777575589851146,"@CarlosBolsonaro Tosa semana vai surgir um novo ""escândalo"" criado por eles. 
Toda semana é assim desde o primeiro turno, é só perceber."
1074744594376638466,@MBLivre Ué
1074727549429825536,"@pecesiqueira Sair no soco q é bom, nada"
1074535353342660608,@MarcioPresident @RenovaMidia Pra te empalar
1074464925509136384,@correio_dopovo Gordinho birrento
1074352696117919744,"@safada_petista @RenovaMidia Ah claro, pq é algo sem prova, pé nem cabeça que realmente importa só pq vc sinalizou, não sei como vivi todos esses anos sem seu aviso. Obrigado. https://t.co/2vh1hjKUrx"
1074279417336217602,@GauchaZH Cerveja e pastel de carne no final da pelada dos bruxo
1074278850748710912,"RT @GauchaZH: Neste ano, D'Alessandro reunirá seus amigos para enfrentar time montado pelo ex-zagueiro Lúcio

https://t.co/0upLeulrPu"
