id,text
1074740592549216256,"RT @7guzeladamsiir: Kitap okumadan meydan okuyamazsınız.

Nuri Pakdil https://t.co/aBvUus6PNI"
1074658842166870017,"RT @KemalTekden: Kayseri 1. Komanda Tugayı Şehitleri'nin,
Şehadetlerinin sene-i devriyesinde şehitlerimizi rahmet, minnet ve şükranla anıyo…"
1073809570894626817,"RT @DirilisDizisi: Zafer Bismillah!

#ZaferBismillah https://t.co/deulOhg1zZ"
1073803894973698048,"Paşam, o sıkılan yumruk, terörün başına indirilen bombaların , hedefini bulan mühimmatın sevinci, gururu olsa gerektir.Türk Milletinin duaları daima yanınızdadır. https://t.co/PqG38gu9vU"
1073498791049867265,Abdülhamid Han'ın Çobana Muhteşem Jesti - Çoban Müslüman Oluyor https://t.co/ytTmnTCQvo @YouTube aracılığıyla
1072963131104788483,"RT @DirilisDizisi: Allah Türk'e yâr olsun...
#DirilişSöğüt https://t.co/fwSGmkSUoW"
1072895101012205568,"RT @firatklnder: Kocaeli'nin Darıca ilçesinde görme engelli öğrencilerin bisiklete binme hayalini fark eden Taha Kocatepe öğretmenin, öğren…"
1072788275386044417,"RT @suleymansoylu: Devlet üzülür mü?
Üzülsün.
Çok iyi bir yöneticisini ,kendisini sevdiren bir evladını ,milletine hizmet eden bir kahraman…"
1072715205233250306,"RT @Selami__Altinok: Altuğ...
Ben şahidim evlat; sen adam gibi adamdın...17-25 Aralık darbe girişimi sırasında sana ihtiyacımız var dediğim…"
1070727935240400897,"RT @kcetaskayseri: 90 Yılı aşkın bir süredir emin adımlarla yürüdüğümüz bu yolda; #azim, #kalite ve #güven'in sektördeki temsilcisi olamaya…"
