id,text
1074634941533691905,Ümmet akın beyi tebrik ediyorum https://t.co/wL5leDZFtr
1074534929269170181,"VEKİLLERİN ALDIĞI MAAŞ AZ BİLE! NEDEN Mİ?

Nedeni şu;

* Şayet bir milletvekilinin yasal yollardan, mevzuata uygun olarak başka bir yerden geliri yoksa,

* Şayet bir milletvekilinin kira geliri (vb.) yoksa,

* Şayet... https://t.co/R5aSQEsym9"
1074260434570633216,"‘BEN YAPTIM’ PANKARTLARI ARTIK BİTSE

DİKKAT edin... Belediye başkanları mesela bir köprü yapar.

O köprüden belediye başkanının kocaman bir posteri sarkar...

“Ben yaptım” der gibi.

Yani “Ey şehir ahalisi bakın... https://t.co/o5G8rLbCO0"
1073846209943662598,"* Fırat’ın Doğu’suna müdahale bir Milli Mücadele’dir, Çanakkale’dir. * Türkiye aklı, Osmanlı aklı, Selçuklu aklı ilk kez harekete geçmiştir.

Türkiye’nin Fırat’ın Doğu’suna müdahalesi; siyasi tarihimizin, ülkemize ve... https://t.co/uM21NJJit9"
1073826582588989440,https://t.co/RjllRdDHgD
1073552920417845248,"Gençlerin en büyük sorunu: Amaçsızlık/Hedefsizlik

“Bir amacım yok…” 22 yaşında bir gençten duyduğum bu cümle, bana çok dramatik geldi. Ne yapmak istediğini, nasıl bir hedefe ulaşmak istediği konusunda bir fikri,... https://t.co/GlbcD3C0Uf"
1073440373886849024,"Fıratın Doğusuna yapılan operasyon ne seçim,ne de geçim meselesi.Bu devlet meselesidir. Devletimizi korumak için,çocuklarımızın yarını için operasyona katılan askerimizin tırnağına zarar gelmez insallah.
Allah ülkem ve ülkem insanını korusun.Hayırlı Cumalar Dilerim"
1072620926905274369,Aynen öyle milletvekili maaşlarıda kesilsin https://t.co/LoG8NkIFOn
1072362541798567936,"“Türkiye, İhraç Etmek İçin İthal Etmek Zorunda Kaldı” 

Geçmişten günümüze ekonomideki durum nedir?
Türkiye’nin bugün yaşadığı problemler, akşamdan sabaha birden bire oluşmadı. 1970’lerin sonunda fakat özellikle 1980... https://t.co/hXGsuYoair"
1072192680166350849,"Mutlaka izleyelim.
Hiçbir siyasetçi,hiçbir akademisyen,hiçbir kitap Ülkemizin sorununu bu kadar net anlatamaz. https://t.co/4x7ZgFFbzG"
