id,text
1073187319501504512,"@leonline2000 Si, los venezolanos originarios"
1070805040594673664,Mi nueva foto de perfil con mis amados hijos. https://t.co/7FSGlHogVD
1069256519492034571,@ElMarcosJosue No dios mio por favor hay cosas que por muy severa que sea la crisis no debemos cambiar
1068263802318323712,@trafficVALENCIA alguien sabe donde venden películas por favor me pueden decir
1067864567617744896,"@soypedropedrosa Debo ofrecerle disculpa, porque no era para ud  mi respuesta"
1067846950249086981,"@soypedropedrosa Se Pedro creo yo por lo que he leído que le dan 10 años, es por un solo delito lavado de dolares corrijame si leí mal"
1067787659542712320,"@luisvicenteleon Cual democracia, cuando la hubo en este regimen"
1067148844125904897,@cliffkirby @Banesco Gracias clissman se te quiere un mundo
1067148156704559105,@Banesco Seres que esta pasando con la aplicación banesco que intento pedir a mi cuenta el saldo y no abre la pagina
1066062216137449480,"@ekbufalo Prof. Estamos sufriendo y resistiendo y quizás todavía nos falta, pero dios en su infinita sabiduría lo ha hecho para descubrir el alma de todos esos canallas, espero nos siga mostrando para que así vengan acciones decisivas"
