id,text
1074756896320512006,@BlackYellow @f95 1-4 BVB
1074756656716644352,"RT @BVBBuzz: The fans are a huge part of what makes Borussia Dortmund such a great club. So BVB fans, we want to hear from you. What made y…"
1074399245279457280,@TheBanat Mou Jo jao Jo
1073992134179471360,@RahulGandhi That's PUBG logic 😂
1073650474023174144,@YouTube All those 9 year olds 🤓
1073637352856182784,"@SpiralOutKaran The Ambanis have paid me well, don't you get it! 😂"
1073635836472651776,@SpiralOutKaran Haahaaha calm down man! 😂
1073631120833490944,@WrldSoccerShop 4-3 cruz
1071417486413688834,RT @BVBBuzz: Big Game. Big Goal. #S04BVB https://t.co/EDPlKPNYCB
1069175846995292160,"|￣￣￣￣￣￣￣￣￣￣￣|
                 No Paco
                 No party 
|＿＿＿＿＿＿＿＿＿＿＿| 
                \ (•◡•) / 
                  \      / 
                    ---
                    |   |
#BVB @BVB"
