id,text
1064937378047881216,@RanveerOfficial Wow paaji
1045650571020177408,@Phogat_Vinesh So sad i saw.
1031924415326507008,@Phogat_Vinesh @WFI_Wrestling @Media_SAI @OGQ_India @virenrasquinha @asiangames2018 Many many congratulations.
978214439013920768,@myogiadityanath Great job.. doing our police..
973456332614377472,@myogiadityanath So sad...
941267153293942784,@utvfilms Amazing ...
940524145313329152,#NewProfilePic https://t.co/I7SF4KLSbp
806569870154469376,@meera_4u @Kailashkher   wowwwww @meera_4u
802926525809049604,@narendramodi  that the good thing sir keep going this smoothly.
662064353634467840,@RanveerOfficial  wow so nice
