id,text
1074787289543442433,#NewProfilePic https://t.co/iTXizvxVYl
1074777909137686529,"RT @WhiteHouse: On December 17, 1903, the first successful flight of Wilbur and Orville Wright's handcrafted biplane ushered in the age of…"
1074604471957762048,#NewProfilePic https://t.co/Ou6ao8liDh
1074600926458101760,RT @worldwidesymbol: Folgore Parachute Brigade (Italian Army) http://t.co/5TLhjuaKef http://t.co/yoBoScragx
1072209919221342210,Vedi la foto di Instagram di @armadeicarabinieri https://t.co/FsJiKMrpG5
1071898838514974721,@USNavy Onnipotente!
1071898065550929920,"RT @usairforce: This is your military!

With less than 1% of the population serving in the armed forces, fewer people than ever before have…"
1071897834524434437,Air.. https://t.co/F9vNayIWqq
1071897752882372609,RT @enrico_pippo: https://t.co/fh2twMMnR6
1071897713376223235,RT @AssaultSea: https://t.co/klYC7Y3SR1
