id,text
1075128516885258241,بفكر اجيب جراب جديد للفون اوم ايه دول يظهروا كل يوم علي الول لما هعيط بئا من كتر منا واقعه في حبهم ❤ https://t.co/COD2u7Hmc3
1074769209236828160,@gafr_hager وحسرتاااه 🙆🙆
1074552834564202496,@gafr_hager لازم ناخد بالجزمه عشره مرات وبعدين ناخد بالنا 😂🐸
1074378917602095104,@AmiraElsherben1 https://t.co/Lfk30EyDls
1074377978686177280,@AmiraElsherben1 تفائل افري وير 💔💔😂
1074377148784394241,هو الصداع عايز مني ايه
1073997037023178753,@Alaa_y2sser الجملتين طلعين من جوا جوا معاميع قلبي 💔
1073996338860384256,المموري بتاعت الفيس بتحب كل فتره تفكرنا بالناس اللي دخلت حياتنا ومشيت بدون سبب ،تفكرنا بالناس اللي طلعت قليله الاصل وهان عليها العشره عادي
1073608882625437696,يالا ي اهلي ❤
1072924247239077889,حاجات من كتر مابتحافظ عليها بتبوظ
