id,text
734177417804275712,O cara merece sofre bastante antes de ter o mesmo fim dos animais. #FDP https://t.co/ac3E1QL0EW
702130189870837761,Recepção calorosa. https://t.co/iyASjb5lhx
697731609227689984,"Corrupção é corrução. Mas, sem dúvidas, a Petrobrás não se compara ao ucraniano. são temas diferentes onde cada um d…https://t.co/8uCBDl5LUF"
682850568944152576,Lei seca
540139685385748481,Ser ou não ser #brasileiro ? http://t.co/Q8baZ4IMnf
490867500112805889,RT @gameofthronesbr: Sean Bean admite que Eddard Stark não é o pai de Jon Snow http://t.co/3dYS62dDle
439541086369746944,"Quando vale a pena, a distância é o fator que menos impacta na decisão.
http://t.co/XXjrtb84Lo"
437262340841820161,E vocês? Acham que o #papa vem ou não? http://t.co/AsMHf9Yblp
437262169957470208,"RT @valor_economico: Dilma chama papa para a Copa, mas acha que ele não aceitará o convite http://t.co/GC87DBOlO6"
422173810159128578,"Vale a pena conferir.
http://t.co/thp2V4jZnO"
