id,text
1074793697324220416,RT @Alevlls: Necesito un atardecer así.😳🌅 https://t.co/52LxxOQ2RX
1072340689780961280,RT @brrandin: *sobs* https://t.co/nn85FLtyaB
1072282986157101056,"POSITIVE VIBES 2019 🔮
POSITIVE VIBES 2019 🔮
POSITIVE VIBES 2019 🔮
POSITIVE VIBES 2019 🔮
POSITIVE VIBES 2019 🔮
POSITIVE VIBES 2019 🔮
POSITIVE VIBES 2019 🔮
POSITIVE VIBES 2019 🔮
POSITIVE VIBES 2019 🔮
POSITIVE VIBES 2019 🔮"
1072282191290343424,"RT @zach_streuling: Rt if your coping mechanism is

-drugs
-alcohol
-meaningless sex
-the gym
-taking a nap

No one will ever know which one"
1072281682475130881,@jaydon_piburn *worst
1061105351578267648,RT @viamaeg: I was plucking my boyfriends brows &amp; my dog was begging me to pluck his too 😢💙 https://t.co/y1aSjPbX8m
1049158615821701120,RT @OdysseyWarren: if you don’t line judge like this don’t line judge at all. https://t.co/p5KpdEYD7q
1025826697785102336,"RT @jaydon_piburn: I don’t need friends, they disappoint me"
1025458714357243905,"RT @thatschris__: When you out with ya friends at 4:30am and they ask “what’s the next move” 
Me: https://t.co/rC8lHRNSsS"
1016847308158308353,RT @jaydon_piburn: when you see your ex in public https://t.co/aNL8vzhfH6
