id,text
1074824081793527814,@andreacarrcpa Same software. Same issue. 🙃
1052694673704345600,@andreacarrcpa Congrats!
1048986396155940865,"RT @andreacpa0: “Women are overly sensitive, uptight, paranoid, etc....”

It’s hypervigilance, those without it didn’t survive long enough…"
1047210855769755648,@andreacpa0 Now THAT'S an offer!!
1037813475496669185,"RT @andreacpa0: Sometimes I take the Nutrition Facts and on the ""servings per container"", I cross out 5 and write 1

because sometimes we j…"
1033866646111178752,"RT @THRIVEalCPAs: ""Participating in the Thriveal Incubator helped me visualize what it takes for real, healthy growth for my practice."" It…"
1033864299842822144,"@andreacpa0 I’ll take one, too! No suing. 😊"
1027664960611078151,"@billsweet @nittiaj Everything I know about 199A, I’ve learned from @nittiaj. As always, thank you, Tony."
1018947990592131073,@CoryjTaylor @FilmCritHULK Kill Bill. Keep Uma and have her do battle with stuffing-filled Crazy 88s.
1009941250408177665,@gregkyte @going_concern @VeraSage Exactly.
