id,text
1074654063327932416,"نكتة 😄 اليوم 

واحده مخزنه هی وزرجها
بتقول له: أذا نجحت مفاوضات السويد  اسمح لك تتزوج عليا. 
قال: وأذا فشلت. 
قالت أتزوج عليك أنا
😂😂😂😂😂😂😂😂😂😂😂😂😂
القات قارح. 
#منال_الصنعانية"
1074653195463483392,"السلام عليكم ورحمة الله تعالى وبركاته. 
#منال_الصنعانية https://t.co/xxvdn9iol1"
1074170939263340547,"صباح الخير. 
#منال_الصنعانية https://t.co/3C4G3jQnr6"
1073932383559274499,"السلام عليكم ورحمة الله تعالى وبركاته. 
#منال_الصنعانية"
1073237690760482816,@nadalahdal منورة ندئ الاهدل
1073232556873662467,"@KhaledAlyemany انتم نفس الفصيلة كلب 🐕 منك لة 
لعنكم الله"
1072852841289658370,"والنعم في الدراسات 
ههههههه 😄😄😄😃😃 https://t.co/kRAcfpAri3"
1072851625839132677,@AlArabiya اخرتها الحيونات مالقينا الحيوانات البشريه ههههههه
1072851226730135552,"محشش
مسكته الهيئه مع بنت فالسيارة ، فسألوا: مين هذي البنت؟
قال: زوجتي ،
قالوا: وش الاثبات انها زوجتك؟
قال: عادي ابوسها قدامكم ‹☺›

👊😷😂😂😂😂😂😂😂😂😂😂😂😂😂😂.
#منال_الصنعانية"
1072850449731067904,"ذماري دخل بقالة حصل 
صابونه سعرها خمسة مائة ريال 
 قال والله لو تمسح
 الذنوب ما اشتريها
ههههههههههههههههههـﮧ😂😂😂😂😂😂😂😂😂💔.
#منال_الصنعانية"
