id,text
1074794646801473536,"RT @VastGG: Check out this giveaway, courtesy of @TheGosuCrew. #ad

🎉 Viotek 27"" 144Hz Curved Gaming Monitor
👋 Tag Your Friends
💞 Retweet,…"
1071330466496684033,@Papanomalyxd @RandomRamboTV U*
1071330425476395008,@Papanomalyxd @RandomRamboTV  this is i
1069171210137817088,@RandomRamboTV @AORUS_Nordic Why no vlog men
1069050153766658048,"RT @AORUS_Nordic: Win points and exchange them for prizes! Come to our booth at DreamHack (Hall B, 04:23) and experience #AORUSLand journey…"
1068806660062396416,@RandomRamboTV @AORUS_Nordic Kkona
1068806628609323011,@RandomRamboTV @AORUS_Nordic Whwn stream
1068195451466330115,@RandomRamboTV Kk
1068188836373700608,@RandomRamboTV When tho?
1067403953409851392,@RandomRamboTV How tf can they kick you? I want a reason 🤔👿
