id,text
1074991061032988672,Tall girls are beautiful
1071475509693943808,Can @ChelseaFC  stop @ManCity  from scoring today?
1070377496519032833,Mention one think native doctors demand from u if they don't want to do Juju for u
1069520858388021248,@HeartOfGoId_ Wooow. Congrats. He's my birthday mate. Welcome to the world brother.
1067910375193149440,"@APCNigeria @MBuhari What about prices of foods stuffs, goods and services that has doubled in the last 2 years?"
1067115355204661248,RT @Mvnaaa___: Open for a surprise. https://t.co/Cpk5zGfrm2
1067105045563478017,"Fat or slim, black or white, virgin or not. All girls deserve to be RESPECTED"
1065892175546916864,@Sadiyahh_M Please clear it very well
1065248771817144321,My girlfriend just sent me a text saying 'We need to talk'. Apparently we've been singing through the entire relationship..
1064297555683680256,"Land for sale at Gudu in Abuja. 8,936 Square mitres. C of O available. Please retweet my customers might be on your TL."
