id,text
860276018493476865,RT @MercyForAnimals: Wise words from @jeromejarre! 💙 #BeKind https://t.co/WfNcsnKbJ7
836052900493283332,@AnimaILife so cute
836052861742112768,RT @BillNye: The joy of discovery is ever so sweet. https://t.co/2aT2TbTkZr
821193465178554368,Dodge bad vibes like a pro. #MLK #GoWild https://t.co/1jve9PPIuz
779810541086834688,"Another eye. Kinda had to put that venom green in there, just had to. It just happened. Stay… https://t.co/cqiJXlKt4t"
779465685797834752,Making mini paintings and huge paintings! ☃(And it's almost winter in Colorado:D) can't wait for… https://t.co/iwnVmqQiqY
777664117083701248,Almost forgot to do landscapes! Thought I'd try to bring out something from spontaneity.… https://t.co/8R278jQpZB
777318517142130689,Gooey things! Its time for more details on this pearlescent lookin' honey type goo painting.… https://t.co/AWyXZ2zSZ3
777261635723485184,Felt like showing you guys some process shots:D Gunna make more eye paintings cuz why not! It's… https://t.co/BEvaeaZtNc
776835484161019904,The flow won't stop🙏🏼😎🍇 Really loving how this is all coming together. Contemplating wether I'll… https://t.co/25tmwTmlaJ
