id,text
1075110422489886720,@SweetieK768 😘😍 https://t.co/hG67DTNP9w
1075109074528722944,@SweetieK768 Yummy https://t.co/1KlfczUJ8D
1075075876222423040,@RSun82 Well said!
1075069793248587776,@BrienneTarth6 Nice
1075069639468625920,@SweetieK768 Good morning.😉🤗
1075066541626912769,@heyitsJudeD @DivinaDeeMe LOL https://t.co/xw5BRIPanY
1075063243310227457,@AudreyPorne @Jenny4ashley LOL
1075063018365407233,@Jenny4ashley Hmmm.
1075062036080381953,@yaboyblue357 Good for you. https://t.co/H2Pa3N3vf3
1075037375057747968,@sarcasticmommy4 LOL
