id,text
1074835985765158912,Es una nena ❤️🤣😂💪🏻hermosa @karolsevilla https://t.co/Vh7TPj5OuY
1074835529076760576,"RT @fan_KarolSofc: @karolsevilla MORI CON ESTO😍
Que lindoo💖
@karolsevilla https://t.co/LAftUvRvrp"
1074835402924556288,Que hermoso!!!❤️❤️❤️el video lo repito una y otra vez 😍🤪 no me canso de verlo 💪🏻💪🏻@karolsevilla https://t.co/WvCqFkeg4V
1074833660078161925,@billiekhaIid Jajaja 😂🤷🏻‍♀️👍🏻🤣🤣🤣😆 https://t.co/lCJziOvv3h
1074833318204588032,"RT @billiekhaIid: pausen el gif y pasen screen si logran hacer encajar las galletitas, yo estoy hace dos horas https://t.co/3wCzml07ld"
1074488240000913409,@karolmylove5 @ruggeroops @myidolsshine Si obvio te puedo decir pero decime a qué Tweet te referís ya que le di like a muchos de tus tweets
1074488020949196800,@karolmylove5 @ruggeroops @myidolsshine Hola
1074485812211916801,"RT @KarolDormilona: Sólo dos ultimas personas estarán en el MD que tengo con Karol y caro

Rt a difundir 🌻🌻 

¿Te vas a perder la oportunid…"
1074070047646191616,Me muero muerta 😵😵😵 ❤️😍❤️😍❤️😍❤️ @karolsevilla te voy a ir a ver 💪🏻❤️😘😍🤪🤪🤪🤪 https://t.co/q1CbOQfSo6
1074069191152541696,@KSevillaARG_ @KarolSTour_ ❤️💪🏻😍
