id,text
385572799433019392,VAAAAAAMOS... VAMOS CORINTHIANS! ESTA NOITE... TEREMOS QUE GANHAR!
303632978926530560,@pretofop A THA
205617298613088256,@SporTV @senseioficial Estamos esperando isso dele
205473505909809153,@Estadao Manda os cara ir se danar
205462894240997376,Vai Corinthians
204565553107566592,@amanda_kell Parabéns muito bom.
203186721200934912,@SpiderAnderson Boa
202849522928467968,@whosbias vc esta em todo lugar tb e nem me segue aff
194787657140809728,@thomebe e ai Ro ja esta na bol
194505387360264192,@programapanico não teve graça
