id,text
1066091809737199616,RT @BenSasse: Iowa has bad corn. https://t.co/MiwPmL3nfU
1065432231949279232,"RT @BeschlossDC: JFK drew this sailboat on stationery of Houston's Rice Hotel, where he spoke tonight 1963, on the last night of his life:…"
1065428961935704065,"RT @BadlandsNPS: This Thanksgiving, we at the Badlands are thankful for YOU and your support of the @NatlParkService and its mission. And a…"
1063270081478705152,Where do the ducks go at winter time 📖 https://t.co/N2UMBvMZJF
1059837903466123270,"RT @JasonKander: Ask everyone you encounter today: “Have you voted yet?” 

(Photo by True Kander) https://t.co/Yd8srTG2rt"
1052587653265285120,"RT @cmcampbell6: The sound of pure joy today at North Bend Elementary in Baltimore, where 52 first graders just learned they are receiving…"
1050203268809416705,Give me FDR please https://t.co/9FS5rLri0G
1049313647380627457,"RT @lucasdrayton: I'm getting advertisements for ""Columbus Day CLE Specials,"" which must primarily consist of ""avoiding liability for your…"
1046735145666048001,"RT @garlandgates: Today in 1890, Yosemite National Park (@YosemiteNPS) was established by the U.S. Congress. https://t.co/pZ4DZZ7TT1"
1039707553641492480,RT @PaulCarr: I'm here for Miazga-vs-Lainez over the next decade. #USAvMEX
