id,text
1075056982170714112,RT @joerogan: Germans can now choose to identify as “diverse” instead of “male” or “female” https://t.co/vn1DvIWPhI via @qz
1074835953804550144,RT @kanyewest: https://t.co/NrSpU6oKZE     My favorite app https://t.co/cJlk8khVhU
1074835816592089088,RT @KimKardashian: Congrats babe on your 69th Grammy nomination!!!!!! #ProducerOfTheYear @kanyewest
1074835435904475136,RT @kanyewest: Croc https://t.co/LneQ4RCpbE
1074835134107521025,RT @kanyewest: Calling out to Bob Dylan   Let’s get together
1074834637384495112,RT @kanyewest: I’m your oxygen
1074834580673306624,RT @kanyewest: Bro stop
1074834518928953346,RT @kanyewest: Stop the act
1074833971597463553,RT @kanyewest: All positive energy
1074833782115577857,RT @kanyewest: Fuck clout
