id,text
1074101637457870848,RT @cHaRliEjO79: Lee’s ready for his first @CoachChrisMack game! #GoCards #L1C4 #kfcyumcenter https://t.co/sVqWOQ9f6Q
1062848199986200577,Parker’s junior year highlights!!💪💪🏈🏈🏈 https://t.co/NxnWA7QyBL
1051662280776138754,RT @GDTKYnews: Bulldogs beat Barren County at Trojan Field https://t.co/A87UyIenDJ
1046233440247517184,"RT @HLpreps: Congratulations to https://t.co/rxBewnRw1s Player of the Week winner Jon-Allen Cross! 

Clinton County senior was a wrecking b…"
1044981852631515136,"RT @trishabowmiller: Please vote for Jon-Allen Cross from Clinton Co.
https://t.co/ywrw1A4ABK"
1043970804340457472,RT @abdulamemon: This Old Dominion TD celebration 🔥🔥🔥 https://t.co/C3rJooCAep
1043477129508397056,My Dawgs 💪💪💪🏈🏈 https://t.co/n59q9d4vbH
1042385420049428480,RT @parkertallent_: Blessed to receive the player of the week ball this week! https://t.co/8QzeFS09yV
1038499279944462336,"RT @KYHighFootball: Clinton County (3-0) - 50   

Pickett County, TN - 18"
1038415544918138884,RT @NickIrwin98: Nice win tonight for the Bulldogs!! Way to defend the stump!! 50-18 over Pickett Co. https://t.co/5CpsCcETLT
