id,text
1033114025159090176,"RT @Ninja: My custom @NZXT Ninja case is officially here!! In honor of it being out of pre-order and available, I'm giving away TWO Ninja P…"
1006238876669657088,RT @hofftv: The #Fortnite Battle Bus is getting ready to fly over Los Angeles. Doing our first on site test. It is 40x30 feet. This is just…
998663894271852544,"RT @FortniteGame: Strap in and blast off with Jetpacks in the v4.2 Content Update. 🚀

Available tomorrow, May 22 at 8am ET (1200 GMT). No d…"
996865706208591872,RT @EliteSonicFan: Sonic says https://t.co/1UG2WGlxNx
992510017587761152,May the fourth be with you always.
991867869368434688,RT @espn: Fortnite + football = this masterpiece. https://t.co/uFm8XK5FKU
991428602301329408,Just posted a photo @ U of U Entertainment Arts and Engineering https://t.co/hYyVPpG6UK
991389722084720640,"Well the game that I worked on, Forward is out today go play it on Steam for Free!!!!"
989541769506275328,"RT @DrLupoOnTwitch: #AllTheWork w/ @Ninja, @timthetatman, and @TSM_Myth https://t.co/w5DKiCXYMI"
988773719823695872,RT @SportsCenter: Oregon going with Fortnite celebrations 😂 (via @GoDucks) https://t.co/3IVEPgD25h
