id,text
1070343362237095936,@NAQI5110 Ifb
1070342058823639041,"Say you street pass me, no mean say ,you fit run me street 👌. https://t.co/3QWckBB6fI"
1061506429486616576,The rumors are true. We’re adding Stellar &amp; we’ve got $125M worth of XLM to give away. Claim yours here! https://t.co/9ej2easQhQ
1053307475611475968,RT @iiiiiQra: Fྂollow everyone who retweets and likes this   🐆
1053306794238345217,@am_dagi @IIshaaqzai18 Ifb
1053306686247600136,"RT @am_dagi: If you want to gain 500+ followers per day don't wait to follow, follow first as many as you can👥👥👥

Let's prosper together ⭐⭐…"
1053301678974201857,Natural mirror for sell https://t.co/Dp7Ostisrd
1053299722260144128,"@iam_kcee My size, wish are could be lucky for once"
1053298169264537600,@InfinixNigeria 2:0
1052520360388714496,"RT @EZADDDDD: You are someone's dream, do not stay where you are treated like a nightmare. https://t.co/BvEWjuvaH0"
