id,text
1074782592619171840,RT @chrislhayes: Getting closer! https://t.co/uOMKS0unxK
1074773904739069953,RT @CBSNews: Sears bankruptcy court OKs $25 million in bonuses for top execs https://t.co/H9Xeq6P1AW https://t.co/cOrGpVimMH
1074773795251007488,"RT @CNN: ""So another day of Hillary Clinton’s emails and the Steele dossier. This while the President ... is lying about the FBI, attacking…"
1074773298595061760,Awesome. Thanks @GOP trickle down economics strikes again #Capitalism #GOP # https://t.co/7vVscYk27D
1074663850962649088,#StableGenius https://t.co/2sYAC6vrB1
1074663157493198849,#StableGenius https://t.co/7bZsp9JQrW
1074474528401551360,"RT @washingtonpost: Russia used every major social media platform to help elect and support Trump, says sweeping report prepared for the Se…"
1074067294882537478,"RT @HSpearfish: #murdermysterydinner#holidayinnspearfish 
Go to our Facebook page for a giveaway! https://t.co/W9Z2otUezM"
1073785591362289664,RT @PaulLeeTicks: So somebody did a Photoshop of Bernie as Mike Pence (and I don't know who) but it was TOTAL GOLD. So of course I had to t…
1073585236758409217,RT @BBCNorthAmerica: Cohen insists he was directed by Trump to break the law https://t.co/om4GSeYWhs
