id,text
1074991415644573698,@FraRocanroleras Pumped up Kicks.
1074841309742010368,@MotivacionesF Arte puro.
1074745621674893312,@90sfootball Un 9 de esos Mágicos 👏😍😍
1074744855664955393,@premierleague @ChelseaFC Drogba y Lampard 💙💙💙
1074698210688536582,@ChampionsLeague 👏👏👏
1074697770936737792,@classicshirts Hazard 💙
1074697420095832064,@juanferreira38 Jaja no existe rival para vos en ese juego.
1074465539337191424,@Nicouy83 Llevee
1074464999081422850,@FCBarcelona_es @LaLiga El mejor del Mundo y de la Historia
1074352063780392960,@LaLiga @Atleti Falcao 👌
