id,text
1068047935693299712,5 of 5 stars to Transitions by Trey Weatherbee https://t.co/syg3RNqMpr
797250487078817792,"Wishing all Veterans, past, present and future, a very blessed and happy Veteran's Day. God bless you, each and... https://t.co/DNeEY5hm7T"
789036971301691396,"Today more than ever, I want the healing of addiction!! There's a personal reason for asking everyone to put this... https://t.co/UVVoLEs1C8"
650781006765551616,Edit yourself: 3 things to look for to tight your story. | The (official) Website of Alex Clermont http://t.co/86YMwgdzhu
640998585027416064,I read Voyage of the Dead by David P. Forsyth https://t.co/vNBO4IHSU6
636736051453648896,all my family and friends who are going through some tough times right now--let's start an intentional prayer... http://t.co/aefWoWE3lz
635304862448754688,How true this is.... http://t.co/4NA1Hd0Bkb
632764591752130562,"RT @TheBattleLost: The Battle Lost: Ryder's Birth SE 1.99 Kindle 5.99 PB
http://t.co/MaiatfyXLz

Out of the Darkness 2,99 Kindle 7.99 PB
ht…"
630920784379281408,http://t.co/5qaTPjq4SP
629771763145052160,Got this email from an old friend… https://t.co/i99arbKcti http://t.co/OO3o3RMwwO
