id,text
1073066007365906432,Great job Boo!!! https://t.co/ZsrdoXFXhu
1070952776270823426,Honored for to be your Brother!!! https://t.co/xExPTB0NK4
1070950684508545024,So blessed to have such great men to lock victorious shields with on a fight that He won 2000 years ago. Humbled to have 14 of my F3 Brothers put hands on me and pray for healing. Unbelievable experience!!!! #victory #alreadywon #neverforgettonight #lovemyf3brothers https://t.co/pJ2fsN8HD6
1069970638415282176,Neat thing to do for all ages. Not too late to catch up. Great message to the kids. https://t.co/YW0Iko7nJ3
1067646163120197632,💪🏻🙏🇺🇸 https://t.co/G4m7jvzCcp
1063944450962018305,Thank you so much @F3Charleston !!! Blessed to be part of such a great Brotherhood!!!                💪🏻🙏🇺🇸 https://t.co/3oBcOaBIn9
1050289417800290304,"Still has a few glitches, but here is the website to our new business for the All Grip, No Slip answer to slippery when wet tile and mineral floors and porcelain/enamel bathtubs for the Charleston SC area.                    https://t.co/p8D7EGXKEd"
1050287988326973440,@JasonRomano Charleston SC!!!!
1049629066733727744,@F3Charleston 23 Pax showed at F3 Extended Stay for a @F3_Harbaugh BDQ!!!! 👍🙏🇺🇸
1048032515657781248,@F3Charleston 8 pax got better by breaking down the Lords Prayer together tonight at 3rd F. Thank you for hosting @RoyFrancia3. Saved us from padlocked pool😉   @F3_Osceola @F3BigPapi @JRWPE @ryanmr30 @F3_LDB @WesleyLinker                                  💪🏻🙏🇺🇸
