id,text
1072518457655287808,@AniMoonAnime Wird die zweite Staffel dirket fortgeführt oder gibt’s erstmal eine Pause zwischen den beiden Staffeln?
1072507061760606208,"@AniMoonAnime Am besten gebt ihr keine Releasedaten mehr raus, da eh immer verschoben wird 🙈🙈
Wenn es kommt dann kommt’s eben 😂"
1072164740082925568,@AniMoonAnime Wie sieht die zeitliche Planung mit Volume 6 aus? Kann man da mit einer pünktlichen Lieferung rechnen? 🙈😂
1072032614893137920,"@SWeiermann @DeineEVG Ihr fahrt im Kreis, drückt Knöpfe, seid unfreundlich und immer zu spät... wollt aber gefühlt Gehalt eines Topmanagers. Ihr seid einfach nur elende H********e"
1071077875858763776,@sternde @_A_K_K_ AKK: Angelas kleiner Klon 😂😂
1067727091372826624,@SkySportNewsHD Kommen die Highlights auf YouTube noch? Konnte das Spiel gestern nicht sehen....
1065571528220250112,4 von 5 Volumes verschoben.... die Quote ist jetzt nicht gerade überragend @AniMoonAnime 😞😞
1064647962314375168,67 Minuten bis der mal nen Geistesblitz hat @DFB_Team 😂😂
1063519460907200512,@ninotakutv @ProSiebenMAXX Nein.... einfach mal gehen Strom schwimmen. 😂
1062322257320726528,@NFL @Giants @JABergman Giants Fans gonna say anyway that ELI is the true Goat.... he is done am come on.. it was the 49ers
