id,text
1074798450473082881,"#ManoWalterNoTVZ 
Programa espetácular"
1074798332353101826,"#ManoWalterNoTVZ 
Oh tvz diferente"
1074798260508917762,"#ManoWalterNoTVZ 
Segue o líder"
1074797369894559746,"#ManoWalterNoTVZ 
Show papai"
1074794352239620096,"#ManoWalterNoTVZ 
Oh modão"
1074792360943517701,"#ManoWalterNoTVZ 
Melhor programa"
1074792267561558023,"#ManoWalterNoTVZ 
Mano Walter é show papai"
1074791471063150598,"#ManoWalterNoTVZ 
O melhor programa"
1074789190259392517,"#ManoWalterNoTVZ  
Segue no líder"
1074788110477787142,"#ManoWalterNoTVZ 
Só as melhores"
