id,text
1072692625990434816,Hey @thedevbranch I hate why you made it payed access
1070164448239869953,@KEEMSTAR @TSeries https://t.co/LQ9CXx4tKy
1069076377037611013,"Hey Everyone, You can get free Robux from this website! https://t.co/TJ7Ud4nvh4"
1069076263732740098,"Hey Everyone, You can get free Robux from this website! https://t.co/TJ7Ud4nvh4"
1065033858104664068,@realEvanPickett hey can you add mobile playing back?
1064321480631218177,@thedevbranch  can you add options so you can drive cars on mobile?
1061124522580103168,@elonmusk Guys this is a meme Model S model 3 model x spells s3x
1061121488215031808,"RT @RobotzR: Hey @asimo3089, Thank you for the ambulances. 😏 https://t.co/05PgHtpKyG"
1060931894886522881,@MrBeastYT No this site is better https://t.co/OTfTIvB5vt
1060298216271425536,@TheDevResource Bro please I beg you with all my heart let us choose if we want to use the joystick or this panel cause this is not easy
