id,text
1075120075630235648,RT @NeerajaKona: My pretty lil girl 🤗❤️ @rakulpreet looks beautiful in Chamee and Palak &amp; Jatin mor jewels for an event 📷 @raviteja7894 Ass…
1075119510460350464,RT @SSMusicTweet: #IPL2019 💛😎 https://t.co/3YqLW4gY5o
1075119383406567424,RT @ashnazaveri: Make your dream home come true now with this @HomeTown_In super sale with offers upto 70% off! These are some of my top pi…
1075118908883910656,RT @eyehinakhan: It was pleasure 😊 Gratitude https://t.co/PJ2t1s04XH
1075118893545340928,RT @Meenaxidixit: “The silence outside reflects the happiness inside” Fun filled #kumbakonam #tamilnadu such a peaceful little place &amp; peop…
1075118679585476608,"RT @ChennaiIPL: The #Yellove Brigade! 🦁💛
#PrideOf19 #WhistlePodu https://t.co/KxNEjKba15"
1075118454791786496,RT @AnushkaSharma: https://t.co/LfvyL0qXQ2
1075118302484037632,RT @shanvisrivastav: New beginning new look! #shorthair💕 #geetha #kolkata https://t.co/InnJDW5Nrk
1075118264060006405,RT @priyankachopra: Staying golden @voguemagazine https://t.co/w3L6Aq0TEz
1075118151992434688,RT @ShirleySetia: Hope you have an amazinggg dayy today 💗🌸 https://t.co/6N55MuBOvm
