id,text
1074846639339302913,@RealHughJackman now you need a puzzle with all the characters you've  ever played in it to do
996132184669999104,@davidlabrava what do you think of all these idiots who are going out and supporting #Pitbulldropoff ?
968257938182766592,@davidlabrava Like the ones in The Host. By Stephanie Myers...
899663969144668163,"RT @EarnKnowledge: ""I got it, I got it"" Never stop retweeting this video.. https://t.co/YVKBtEgf91"
899465504628379652,"So much hate in the world today. Bring on the aliens from #TheHost by @StephanieMyers 
Problem solved. If only it were that easy."
899457285080182784,"RT @JaredLeto: 200,000 likes on Instagram + I'll play a piece of the new song today!!!  https://t.co/jycWx6gNTV 😂🤣😂🤣🙌🏽🙌🏽🙌🏽🙌🏽🙌🏽🙌🏽 https://t.…"
837147223792189440,@JensenAckles Happy Birthday!
770046074170052608,RT @JaredLeto_com: I can't breathe... Help me... 😍😍😍🤗🤗🤗🔥💯🃏 https://t.co/c5RX9CuVuz
714543095157755904,"https://t.co/XAOpBwwG9Z

#sweepstakes"
706748704959676417,Plate I made for a family member https://t.co/uddyFTgxFN
