id,text
1074825865165443074,@EricHeubusch @SNNTV 😂😂thank you for your generosity.
1074825739793559552,@rklein1010 @SNNTV Thank you!!!
1074772918830280704,@CoreyDylan @SNNTV Thanks!! 🙌🏻
1074767397289111552,@Lundy1970 @SNNTV Thank you!!
1074762718559768576,@Ry_Bass @SNNTV Thanks 🤗🤗🤗
1074761722320355329,"Coming up at 5 pm on @SNNTV, I’ll show you how the @SarasotaSheriff is gearing up for the #holidays! 
#Sarasota https://t.co/ZNRmUZglHF"
1074760632887623681,"Exciting first day for me as @SNNTV newest reporter!
I can’t wait to share your stories #Sarasota! https://t.co/jqPKcJtzGG"
1073025695696240640,RT @thebestoftcain: Hustle and heart set us apart 💁🏼‍♀️
1070455723807662081,@ChelseaTatham https://t.co/lB38a43bNB
1070452674309558272,"When you grow up in Germany, the fear is real. Thanks @ChelseaTatham, #triggered. 🎄🥺😂 https://t.co/r7vuKMvBYg"
