id,text
1074450501058605056,"@_robpilkington_ We saw it last night, let me know what you think!"
1068655122337722368,@emptybamboogirl Yeah it’s fun right?!
1068462285113446405,@_robpilkington_ I typed that then scrolled down and saw DD was cancelled and then swiftly lost my shit.
1068461957429305344,"@_robpilkington_ I believe JJ, Punisher, and DD are all still alive. I’ve been binge watching the fuck out of those shows lately so they better keep all of them!!"
1042615804074844161,@_robpilkington_ I did the EXACTLY the same thing the other night....I was in the dark universe for all of 16 minutes.
1017213137379037184,@_robpilkington_ My office is filled with several of those kitchens and at varying sizes.
986730027231432705,@_lillianlee_ I miss that place so much!
947694813901656064,"#2017, I let you go."
941298076379176960,@_robpilkington_ Boy they really want to make X-Men movies...
916062933205045248,Reading #batmanwhiteknight and realizing .@Sean_G_Murphy is everything that is right and good about comics.
