id,text
1074828896254746624,@potterybarn I just received the forth set of sheets in a month with an incorrect monogram. All four exactly the same. WRONG!
1059886185722535936,RT @carlyrigby: I was just introduced to the beauty that is @WorkJam and my mind is blown. I felt like crying during my demo because I love…
1035242680132034560,@SupportRequests #92292181
1035197621483126784,RT @WorkJam: Read how Target Australia uses WorkJam’s mobile-first digital workplace platform to connect the entire organization and drive…
986355505210777600,"RT @WorkJam: Join @WorkJam for a webinar, Exploring the Digital Workplace, on Wednesday, April 18th at 1:30PM EST. Learn about the emergenc…"
984131431675973632,"RT @WorkJam: Yesterday evening, @WorkJam participated in a great fundraising event with Kronos Retail. We are very proud to support our gre…"
972664972382801920,"RT @WorkJam: WorkJam just made a list of the top growing SaaS companies at #26.

See the full list here: https://t.co/jQQIoXlIb7 https://t.…"
961679847394291715,"RT @WorkJam: Steven Kramer and Mike Zorn recently attended the #CLOExchange at @SouthwestAir. @StevenHKramer, WorkJam's CEO shares his thou…"
961042316109778945,"RT @WorkJam: Come visit Jamie and Ricky at the WorkJam booth #9 at #FutureStores Miami.

#DigitalWorkplace https://t.co/jd1LyNrpti"
959950944178982912,RT @WorkJam: .@Walmart and @Starbucks recently announced new family-friendly benefits for hourly workers. As the labor market continues to…
