id,text
1074783372696784897,"@reinaldoazevedo Se ele falou isso, que palavras vou usar para adjetivar minha mãe....ele usou boas palavras, com quem não merece..."
1074751768863629312,"@reinaldoazevedo Ué....não somos um país laico....
Qdo ele falava Brasil acima de tudo....Deus acima de todos, havia quem o criticava.....
Estranho isso né?"
1074633962272755713,@Francischini_ Boaaaaa
1074621632541532162,"@JanainaDoBrasil Pois é....sabe o que me pergunto...onde está o grupelho de artistas, que bradavam aos 4 cantos...o famoso elenão....sumiram né....ah sim, muitas delas são amiguithas dele.....é .....😉"
1074363484618571776,@Oledobrasil E o Pericles Chamusca....kkk
1074359600948891648,"@o_antagonista Meu Deus....até quando isso hein.
Cansei desse aí...Lula calado é um poeta diria o Romário."
1074330679222132736,Calor da p.... https://t.co/93JW4NRkCp
1074329111793942529,@o_antagonista Será mesmo........pairam dúvidas....
1074328922748272645,"@andreazzaeditor @Francin36681757 @JovemPanNews @maryritalopes Boa @carlosandreazza, holofote só para quem realmente merece, senão, daremos mais atenção ao cavalo do que ao cavaleiro...."
1074284503072497665,@folha Isso continuem tentando....uma hora vcs acertam.....só por Deus ....
