id,text
1074914422542323712,Michael Stratton's photostream #flickr https://t.co/UZaZsn9PKh
1074897403407286272,@grethanboobs @EthanDolan @GraysonDolan https://t.co/OSwGBZwxi1
1074897342103379970,@KidCudi @kanyewest https://t.co/OSwGBZwxi1
1074897314605481984,@noahcent https://t.co/OSwGBZwxi1
1074897291054469122,@MartinGarrix https://t.co/OSwGBZwxi1
1074897264584183808,@TeamJuJu @pizzahut https://t.co/OSwGBZwxi1
1074897243537211392,@kanyewest https://t.co/OSwGBZwxi1
1074895763358998528,@lilstilinski https://t.co/OSwGBZwxi1
1074895722640601088,@TeamJuJu https://t.co/OSwGBZwxi1
1074895697822965761,@Jack_Septic_Eye @Strippin https://t.co/OSwGBZwxi1
