id,text
1074795316837277696,This year has been such a blessing! My life is so freakin awesome right now!
1074794763960893440,Thanks justice was in the judges hands. I don’t get triggered I look at every day different now! I just want to help people who don’t have the courage to help themselves and spread awareness! https://t.co/S85PqStFLF
1074793990329905153,I am preparing myself to speak and do other involvements in Anti-Sex trafficking! Thanks so much https://t.co/PCMsDtAPfe
1074793381220507648,I feel like coming out my shell!
1074793062335950850,"RT @angelayee: Everyone you come across isn’t going to be honest, have good intentions, or treat you the way you treat them. Don’t ever let…"
1074792975924977664,@JuliaBeverly you can make them private in the settings
1074081973042376706,RT @kanyewest: I give up drinking every week
1074081809128919042,RT @kanyewest: Keep squares out yo circle
1036994499942277120,Sometimes I thought we’d never see the light 💡 went through hell w heaven on our side!-Beyoncé #happyinlove #married https://t.co/cPInZEPatj
1036993765192462336,breaking the silence i’m back! no more quiet Ang I needed a break I’m good now
