id,text
1074780043585433600,"😂😂حالي بعد الجيش 😂😂 
😂😂دول سنتين بردو يا جدعان 😂😂 https://t.co/u58rkeqEoz"
1074779399659184129,@Rahmahanyy90 كن قويا ولا تنتظر رضا احد فالجميع يكرهون الطيبون ويخافون من القوي
1074777289387376645,@shima_fouadd يا نهار ابيض دي كانت تبقي مسخره
1074706058629799936,@lolaasem14 انا حاسس بيكي 😂😂
1074401716370595845,@ayazaki201 دي المجنونه دي بقي ما طلعش لقب ده طلع عندك اسلوب حياه
1074401276891422720,@maymohamed__ ماهر المعاقلي او احمد ابن علي العجمي او الشيخ ناصر القطيمي  او مشاري
1074399524263772161,"RT @crazy_AmrDiab: الاحساس الى فى الاغنية دى💖
#عمرو_دياب https://t.co/B46dV5hzTU"
1072917829706506240,@BasyoBob حلوين في الشكل بس
1071905033560707072,@ranush_Flow Gold
1071113919421448193,مش عيب انك تتوسخ علشان تاكل بس العيب انك تقول لحد اكلني 😃 https://t.co/oQZS7zETKU
