id,text
1074485220886208512,@Streams_Vader My account expired for a week. I went online and paid for six months. I can not access anything.  Just says log in failed on my Kodi box. Tried downloading Perfect player no luck. Don't know if my user name is correct. Used my email and that worked for payment.
327425405734776832,Awesomeness found at #theCHIVE! The rich kids of Instagram strike again (41 Photos) http://t.co/NbZrgdeovC
322639415736422400,I bet hell is full of morning people and obsessive compulsive facebook pokers. http://t.co/EbjVXzKSXP
281409193561452544,The best job was impressive http://t.co/BW6vwOwl
281330997763645440,Best jobs in America http://t.co/9XR3Oeqt
280993191862349824,Raspberry Ketone is all the new craze!! Dr. Oz even mentioned it as a break through weight loss supplement. http://t.co/xHJsQ0tI
280272877616513024,Get slim by summer starting TODAY with raspberry ketones! http://t.co/J2WmAuLf
278684579311796225,My friends started noticing the change during the fourth week of putting Raspberry Ketones diet to work http://t.co/dIalkKog
276949479238795264,Hey everyone! youve gotta check out how I made $558 today alone http://t.co/ZSi3FQSx
272666533262659584,http://t.co/nh2DBf3m
