id,text
1074908323558895616,RT @trashygaytweets: The toys in Toy Story when they saw Andy walking in to the room  https://t.co/iHB6AoHjzS
1074803034524397568,RT @Ivarortizz: podemos reiniciar el finde por favor??
1074705428213366784,"❤️💔💩😂👏🏼🤤
Lo de siempre https://t.co/WHXLJDKF2Q"
1074565663166029824,"RT @michelleMT12: no me hablo con nadie y no saben lo aburrido q es, necesito a alguien interesante en mi vida"
1074520809375481856,"RT @PaisajesGeo: Nueva York, central park. https://t.co/LxlPWHpj0J"
1074426192760049664,"RT @melanydahiana: Que hermoso cuando escuchas el inglés y ya no lo traducís en tu cabeza al español, es como que tu cerebro lo entiende di…"
1074350306765496321,RT @SallyMayweather: https://t.co/yKaHf3xAlW
1074017210702680065,@luis_stoller Jajajajaja con las selfies ya me rendí pero con la trasera soy alto crack
1073987018277965825,Diciembre te estas ganando el puesto a mejor mes del año
1073971394034180097,RT @violeta_mellano: Que buena noche para repetirrrr🤩😍💣
