id,text
1074601239877443585,@ThomBierdz I’ve never been to a glory hole...I enjoy watching how much my partner is enjoying being pleasured by me much better...a glory hole robs you of all that!
1074076264468766720,@snypadagod1 Nooooooooooooo 😁
1073969703255707648,RT @arrobapornogay: En esta verga si me siento aunque me parta el culo en dos  https://t.co/yKX8mxPHex
1073723204907208706,@ThomBierdz Roseanne Rocks! 😊❤️
1073698968104812547,"@snypadagod1 Hello my friend...Thank you for following me, but for now, I ddo not intend on posting on Twitter, like I did on facebook...If I do, you will most likely be seeing more explicit photos of Hairy Naked Men! Lmao   I love Twitter...What took me so long?? 😁😁😁"
1073676476795576328,@ThomBierdz Crochet cap
1073033086466707457,@gntlgient Less of a smile would have been much better...this big smile makes her look goofy! Lol
1073030816337342464,"@JoeMendoza68 Hey there, Joe!  I’ve left Facebook for good, but I miss you and Michael Brandon...It looks like he doesn’t use Twitter much😥 Would really like to stay in touch! pmulei@comcast.net   Merry Christmas to you both! 😊♥️"
1073029466589413376,"@JoeMendoza68 @realDonaldTrFan He always makes himself look like a jackass, never professional! ☹️"
1072589449933017089,"Hello Everybody, I’m new to Twitter!
Roseanne Barr @therealroseanne is Not a Racist...Dammit!!"
