id,text
1075112108625457152,"My wife and I started doing shots for every lie during the @WHPressSec @WHpressbriefing and we are drunk already. 🖕💩
#TheResistance #Resist #VeteransAgainstTrump"
1074808623723962368,RT @noturstudent: I wonder how far down the stock market has to go before the rich bastards on the hill decide they've got to do something.…
1074808076908281857,"RT @SavageLib1: @EdKrassen When is Making America Great Again supposed to start?
#MAGA"
1073675718591164416,RT @TomthunkitsMind: Get Ready Mueller Is Coming. https://t.co/VKvc0sqlgz
1073672873284431872,"RT @yoruguaenusa: This is freaking hilarious
😂😂😂😂 https://t.co/lfqHRH9ljS"
1073670110131511296,@realDonaldTrump yup... Like I said... You're sooooo fucked. Fucking loser. 🖕💩 https://t.co/jw7U6KakUD
1073668874644660233,@realDonaldTrump you're gonna go from the White House to the big house.. You're soooooooo fucked. 🖕💩 https://t.co/9Shh8c5bhU
1073355374227611648,RT @amjoyshow: GOP-controlled Senate breaks with #Trump on Saudi vote https://t.co/144wSDvDZC
1073354204574597120,RT @PaulLeeTicks: So somebody did a Photoshop of Bernie as Mike Pence (and I don't know who) but it was TOTAL GOLD. So of course I had to t…
1073348501541699584,@EdKrassen Shocker
