id,text
1075027809225994240,@realDonaldTrump You lost the popular vote. Thought you needed a reminder
1074848895438450688,@thedailybeast I always saw her on talk shows and she came across as kind of empty. but I see now that her strength is at the negotiating table. She totally needs to put Trump on her Christmas list for letting people see that on national TV.
1074848317996118016,@CNNPolitics Plan?
1074848208327589889,@Newsweek She acts like that's the plan.
1074847575390412800,@thehill And pigs fly! And there IS an Easter Bunny!
1074847389767200768,@Newsweek Two words: Adder. All.
1074847168890982400,"@thedailybeast You really have to be competitive to be considered one of the biggest douches out there, but Tucker is right in there with the biggest of them! Way to go Tucker!"
1074787791974805504,@realDonaldTrump The interest rate on my Adjustable Rate Mortgage just went up a whole percent. My tax burden last year was the highest it's been in more than twenty years. Thanks for the great economy. 😑
1074762690407456768,@realDonaldTrump My wife's deductible is...wait for it. Six hundred dollars. It's great coverage.
1074762519305117696,"@realDonaldTrump Just like you to blame someone else. You're the head of the government, so it's on you."
