id,text
1075074673812140032,"टैक्स दे राजस्थान की जनता, पैसा राजस्थान का फायदा दे अन्य राज्य को तो वहां की सरकार क्या करती है। अन्य राज्यों में पलायन क्यों, इसको रोको या प्रति व्यक्ति राजस्व कम करो खुद के राज्य में। दवा, जांच का खर्च तो राजस्थान सरकार मजे सब ये सही है क्या?"
1075073875812208640,"राजस्थान का बजट, राजस्थान की जनता के लिए मुफ्त दवा का फायदा सब ले रहे है। अब वहां की सरकार भी ये काम कर सकती है या जब वहां आदमी रहता ही नहीं तो गणना क्यों, अब अन्य राज्य में दूसरे राज्य के कितने लोग रहते है बराबर तो बिल्कुल नहीं। केंद्र को भरपाई करनी चाहिए राज्यों को।"
1075072871171530761,@ankittiwadi नहीं तन्मय चम्पी बाज ही है
1074660353701789697,मातम पुरसी क्यों कि बोलने को कुछ बचा ही नहीं https://t.co/3pxSrnWErO
1074660106262990849,"RT @RajpalSinghSh10: Congratulations to @ashokgehlot51 ji on becoming #Rajasthan’s new Chief Minister, and to @SachinPilot ji for getting t…"
1074659969759363073,"RT @delhianilsagar: मां आई, सेव गुड़ पट्टी लाई, 
पति का लाया बड़ा ब्रांड बेकार हो गया,
भड़भूजे के रेत वाले चने से बचपन गुलजार हो गया,
 सर्…"
1073592482728820736,"RT @its_Aruhi: कुछ लोग लड़कियो का मजाक उड़ाते है
एक लड़की अपना सबकुछ त्याग देती है 
किसी और के लिए
ये बलिदान सिर्फ लड़किया ही कर सकती है
इस…"
1073557141053616128,RT @ashokgehlot51: मैं और मेरे साथी सचिन पायलट जी और तमाम जो हमारे मंत्रीमंडल के साथी बनेंगे हम सब मिलकर राहुल गांधी जी की भावना के अनुरूप…
1073557049873620994,RT @PtSureshMMishra: Congratulations to @ashokgehlot51 ji &amp; @SachinPilot for taking up the responsibilities of CM &amp; Deputy CM of Rajasthan…
1073556995418910722,"RT @ashokgehlot51: मैं हमारे नेता कांग्रेस अध्यक्ष श्री राहुल गांधी जी का और तमाम हमारे नव निर्वाचित विधायकों का बहुत आभारी हूँ, उन्होंने…"
