id,text
1053130213616422913,RT @Roshan_doit: #Vodafone ये क्या हो रहा है इससे बढ़िया तो ये है कि #Vodafone का नेट काम मे ही नही लिया जाए @reliancejio @Airtel_Presence…
960340244208996352,@hanumanbeniwal Jai ho
940801658916933633,"RT @manojnarayanbjp: #JilaKotputli
मुख्यमंत्री महोदया न्याय करो 
कोटपूतली को ज़िला बनाओ !! 
—— कृपया इस मैसेज को fb,tweeter पर अधिकाधिक शेय…"
908701940862795776,@beniwalhanuman9 Bilkul shi mla sahab
908219226078420992,RT @hanumanbeniwal: किसानों की विभिन्न मांगों को लेकर सीकर जिला मुख्यालय पर चल रहे महापड़ाव के समर्थन की कुछ फोटोज आपसे साझा कर रहा हूँ ।।
908219194235248640,"RT @Tejabhaktbalvir: मेरे अस्तित्व की पहचान हिंदी से है.
मेरे देश की शान हिंदी से है..
हिंदी दिवस की हार्दिक शुभकामनाएं
#हिंदी_दिवस #Hanuma…"
906390425774075904,RT @hanumanbeniwal: आज बीठवाल में हैंडबॉल प्रतियोगिता में भाग लिया !
906390275664240640,"RT @hanumanbeniwal: #राजस्थानसरकार की कैबिनेट मीटिंग में सरकारी स्कूलों का निजीकरण करना दुर्भाग्यपूर्ण फैसला है!
#HB#WithHB #DIPRRajasthan…"
906389792799125504,"RT @AnupamPkher: The Anupam Kher Award at #PILF, Pune https://t.co/ZaxncFc0rt"
898808892351631360,RT @hanumanbeniwal: #नागौर जिले के कमेडिया ग्राम में एक शाम तेजाजी के नाम धार्मिक कार्यक्रम की तश्वीरें !
