id,text
1075116910428151808,"@BubbyCovfefe @AaliyahHara Hello I am trying to start an Initiave in #washington state to help end the normalization of pedophilia, I need all the advice and support I can get! I would really apprciete if you could take time out of your day to help me and my movement!:)"
1075116786327015424,"@EinsteinIP2015 @DunceBiden Hello I am trying to start an Initiave in #washington state to help end the normalization of pedophilia, I need all the advice and support I can get! I would really apprciete if you could take time out of your day to help me and my movement!:)"
1075116651270483968,"@catchingfireCA Hello I am trying to start an Initiave in #washington state to help end the normalization of pedophilia, I need all the advice and support I can get! I would really apprciete if you could take time out of your day to help me and my movement!:)"
1075116570509139968,"@ShaktiForTrump @darylnelson01 @SaveOur1st @senatemajldr Hello I am trying to start an Initiave in #washington state to help end the normalization of pedophilia, I need all the advice and support I can get! I would really apprciete if you could take time out of your day to help me and my movement!:)"
1075116474983804928,"@Shy_Survivor @msjenniferjames @guardian Hello I am trying to start an Initiave in #washington state to help end the normalization of pedophilia, I need all the advice and support I can get! I would really apprciete if you could take time out of your day to help me and my movement!:)"
1075116085601460224,RT @missjedahdyah: #stophumantrafficking #SaveTheChildren #deathtopedos https://t.co/IWo2ECqEpt
1075107205945339904,"@VikGrujic Hello I am trying to start an Initiave in #washington state to help end the normalization of pedophilia, I need all the advice and support I can get! I would really apprciete if you could take time out of your day to help me and my movement!:)"
1075107103851737088,"@docburkhart @Rambobiggs @MBNRox @NoRestrictions @firemanjohn628 @Gruvedawg Hello I am trying to start an Initiave in #washington state to help end the normalization of pedophilia, I need all the advice and support I can get! I would really apprciete if you could take time out of your day to help me and my movement!:)"
1075106983223521280,"@KarenBCamp @ag_caball Hello I am trying to start an Initiave in #washington state to help end the normalization of pedophilia, I need all the advice and support I can get! I would really apprciete if you could take time out of your day to help me and my movement!:)"
1075106869692137472,"@Eurysaces Hello I am trying to start an Initiave in #washington state to help end the normalization of pedophilia, I need all the advice and support I can get! I would really apprciete if you could take time out of your day to help me and my movement!:)"
