id,text
983047889634119680,@BradleyMartyn Nope. Never.
974850577548136448,"@BradleyMartyn has given me the motivation to keep chugging through the hurt, the pain, the tears, and the injuries. Words cannot describe my appreciation towards you and all the motivation you give not only me, but the community as a whole. Thank you https://t.co/B0qGASyB4J"
964604591689093122,@halii62 No
964603779441217537,RT @TaylorVanOrder: I never want to raise a child in this shitty shitty world
964603740329316357,@BradleyMartyn I can be there in T minus 30 seconds. #SQUADSTRONG
963834034152509440,Man were you born with a receded hairline?!? 😂😂 @BradleyMartyn https://t.co/hSRstOmreC
958063122706784256,@BradleyMartyn Leg day
956720401383677952,@MaddiVedder Wut
956720289488035840,@BradleyMartyn needed this today man thank you 🙏 https://t.co/Mq7q3VYonz
954867629633753094,I just smoked a blunt with your girlfriend
