id,text
1074920656968519680,@TheObiLeonardo Dude being rich makes you famous and being famous makes you rich it’s simple math (common sense) 😉😎 https://t.co/ahV0cBwhpv
1074919672833810432,"RT @TheObiLeonardo: If you were asked to pick one which would you pick? 

1.) Fame 
2.) Money"
1074876785635049473,@HonchoDimps Waaa?
1074875731614842880,"@citrus_dragon Thanks 🙏🏼, the pic guards my phone from any “intruders” 😉 hope you adopt one yourself soon! ☺️"
1074874090962472960,@HonchoDimps Fax
1074826292757962752,@30SecFights @dre_morales Oh my god I always do that shit😂 I just don’t know how it happens in real life 🤔
1074825972501884928,RT @30SecFights: When you’re playing Grand Theft Auto and you accidentally lock onto someone else in the middle of a fight. https://t.co/ET…
1074822362388946944,RT @dre_morales: I found my new fave vid on FB 😂 https://t.co/QGSmHp5l8p
1074819386307960833,RT @_CaRtOoNz: Still have no explanation on what kind of nonsense this was from ChickFilA lol https://t.co/1X6iw0OWcs
1074817602785042437,@PlebyPotato2 🤳🏽🕺🏽
