id,text
1074838976937119746,"@realDonaldTrump. Only criminals are worried about ""Rats"" and snitches.
If you aren't a criminal...""rats"" aren't a problem. https://t.co/mGMhig3Lra"
1074790703421517824,@janellejcomic Yea! What's up with that?
1074462588778340352,@DavaStarr @76georgezeeking I love madds
1074461875704721409,@76georgezeeking Yeah! Christian showing that superior morality. What garbage.
1074461551321468928,"Ha! That's what we really do expect from Christian morality. You have no claim on morality. @TheOnion 
@AtheistRepublic https://t.co/FR1KhB2Rne"
1072733876999532544,@BarackObama Advertising?
1072733335422521344,@AdviceToWriters Does that make me a god of ideas?
1072732763982192640,@StephenAtHome Rump bitch slapped. Lol
1072731833538818048,Nancy Pelosi bitch slaps Trump....I'm dreaming?
1070027546132066304,@goodreads Georgia...the walking dead
