id,text
1071439331175383040,@llamo_sue Ok
1071149267916636161,@llamo_sue Oda   güzel
1069309438228611072,@ertemsener Hakemler   sağolsun  sizede malzeme  cikyo
1069308478487969795,@sinanenginnn Sen  tebliğinden   bahsedin  abi  hkm  bzi  katlti
1069306158828138496,@ahmetcakar1 Ahmet  hoca   hakem 1  GS0
1063894570377912320,@ertemsener Abi   terimi n  aldığı   haksız   cezaları   konusunnn
1063894391419490304,@ntvspor Sn  neyi   bulacaksın    abi   türkiye'yi   rezil   ettnn
1063893793517305856,"@sporx Abi   istifa  et   artık   bu   milli   takım  bu  değil   Burak   var   Caner   var   Selçuk   var   emre   bolezoglu   var  arda   var   kaleci  Volkan   Demirel   var   Gökhan  Gönül   var   alcan  bnarı  arkana  bakmadan devama etcn gençler
Tecrübesiz   baba   ytrrrrrr"
1063135259712208896,@esasmutluluk Sence
1059875326023602177,@fatihterim Arkandayız   imparotorrrrrr
