id,text
1074984642409889793,https://t.co/hK62SFJwEL
1074229525360332800,@thegooglefact And worms
1073837369009287168,@Rud_Is_Here @WakeupPeopIe Kill him
1073837163882651648,@riteshsinghk1 @WakeupPeopIe With his bare hands
1073235324887818242,@DankMenes @imScottyyy_ @McnaughtonReece
1073225435511689221,@easypeasyl @AshiiK12 That would be slavery
1073172389305991168,@AmyMek @larryisthelad Getting migrants to finish what they started years ago. Sneaky
1072260643552669696,@thegooglefact 🐂💩
1071170253487554560,@sjokz @LeagueOfLegends @loltyler1 @RiotDash I thought Verne Troyer was dead
1070356400897998848,@OwenJones84 You wanker
