id,text
1075133824466604033,@hague77 @SimeLewis https://t.co/Z69EfYeucG
1073505375696097280,@hague77 @90sWWE @SimeLewis Hahahahahahah
1073198626397188096,@craigfrater https://t.co/GOENB8kKa5
1072192772654972929,One of your horses @craigfrater https://t.co/s6G68aowlO
1072192405389172736,"RT @IsItTrue_false: True or false?

Men have plenty of hair but women have more hair on the whole ?"
1071267864475328513,RT @SportsFunnies: He fucking flew 😂😂😂 https://t.co/do4p9rRJVC
1070375365523267586,@craigfrater 👀 https://t.co/cC8ePsXZpK
1070092552307654656,@hague77 https://t.co/ZfRUzBTBTV
1069209130286673920,@hague77 @AndyHa_ 😂😂😂 crying here
1068518991759437824,@MorganKaelan https://t.co/ulXaTqkC0b
