id,text
1074833516221755392,RT @SadhguruJV: .@PVSindhu1 proves there’s no second-guessing persistence and perseverance. A remarkable win. Blessings. - Sg #BWFWorldTour…
1074833459942551552,"RT @rallyforrivers: You've heard about the ""world wide web""... How about a ""wood wide web""?!
#EcoFacts #trees https://t.co/0HdZB9KvI1"
1074833360197799936,"RT @indfoundation: An Indian Yogi, Mystic and Author Sadhguru Jaggi Vasudev @SadhguruJV's mesmerising Conversation with @subhashkak1 genera…"
1074833294976475136,"RT @SadhguruJV: If we bring this one thing, that the highest aspect in the world is seeking the truth and liberation, you will naturally ha…"
1074296660358885377,"RT @ishafoundation: What is the role of a guru in your life? Tell us in the comments. #Guru #Life

https://t.co/0Qk9CwyJ2g"
1073906224708542464,RT @ishafoundation: .@SadhguruJV has arrived and the “Inner Engineering Completion with Sadhguru” officially begins! #SadhguruInBangalore h…
1073174356488929280,RT @SadhguruJV: Intellect is not the only dimension of intelligence that exists in human beings. Your ability to see every dimension of lif…
1073174236057939968,"RT @ishafoundation: .@SadhguruJV was part of a special panel discussion on ""Ease of Living - Ensuring Productive, Efficient Society"" with @…"
1073174178184884224,RT @SadhguruJV: Economic goals are only a stepping stone for human well-being. In pursuit of economic goals we should never forget the fund…
1072872978105298945,"RT @ishafoundation: Every book opens up a whole new world! @IshaVidhya is participating in @PrathamBooks' ""Donate a Book"" campaign, to rais…"
