id,text
1075006382884249600,@OmarAbdullah This is not expected from you ..I always respected you and your open views .your opinions always has been respectful. But your tweet on Manohar jee Illiness is wrong sir ..sorry but I dislike it .
1074933245916123138,Aaj jaha chunav jitne ke liye Below the belt language use kiye jate hai ..but you have always maninted the dignity. Last but not least aap ke bhanje sirf MP mai nahi but pure desh mai hai :) #Respect you and your great personality ..much to learn 4m you sir
1074933242908815360,"@ChouhanShivraj  I am not from MP but I completely disagree with you when said "" Aap sirf MP ke hai"" . Aap pure desh ke hai aur pura desh aap ko respect karta hai ,pyar karta hai .I don't like politics but literally felt sad after seeing your press conference"
1074624604474363905,@sambitswaraj please teach Him some basic English Terminology ..Thank you @MrsGandhi  for correcting ..#Respect https://t.co/mR3bAJHdfU
1074177907633872897,https://t.co/mERQEkCku1
1073195311831478272,@sambitswaraj  happy birthday sir .. a   true inspiration for youth ..God bless you
1072536504344420352,@RakeshSinha01 @javvytweets @ndtv @bainjal @SreenivasanJain True .That's the reason he is our inspiration..  Thank you Rakesh  sir ..
1072343024368263170,"Naya subah hai ,nayi Josh hai..#chalo #chale #congress #ke #sath @INCIndia"
1070960398696964096,@nitin_gadkari Sir we know your dedication towards  development..but health is more important..You are our true inspiration..apne liye na sahi :) par desh ke liye aur hamare liye apna dhyan rakhiye .. Stay blessed sir
1070942905882370050,@vectus007 @msisodia @Guttajwala Why dint you go and proved stupid theory when EC invited the #Thugs #Gang ..you guys are real supporter of #Kejri ..knows nothing .#Thetharlogist
