id,text
1075069803193344000,@Metmaeen خو خلک پدي هم نه پوهیګي سی دا غلام دولت دی سر دا او که بیخ
1075051876062781441,RT @abdulsalamzaeef: دسولي قيمت که څه هم دروند دی، خودسولي په نسبت ارزښت نلري،ځکه چې حقيقي سوله راوستل دهرچاپه ګټه ده،اوږدمهاله ټوليزه ګټه…
1075051184724041729,@Metmaeen ya ALLAH جلاجلاله please give us truly peace .
1075050682615545856,"RT @Metmaeen: US pruposed discussion: Ceazefir, direct talk between Taliban &amp; Afghan Govt, exchange of American-Afghan University lecturers…"
1075048756188508160,الله تعالی دي زموږ په کړیدلې او زوریدلې ملت رحم و کرم وکړي https://t.co/yPAnZ9cEfm
1075048540668334080,@TOLOnews inshaallah hope peace will come in afghan eart
1074779545969061889,حالات سنګه دي خیاطانو(دولتي غلامانو) ځان ته به اوس دې وریښمو پرتوګ ګنډې که سه!!!! ههههه https://t.co/CGqROfhSC8
1074778669787291648,@Ghazwa_313 هههههه
1074778481073053696,@MarcBlanc19 @TOLOnews @ArianaNews_ @AlArabiya_Eng @AlmanarEnglish @dailypakistangl @TimesofIslambad @timesofindia @pajhwok @Zabihullah_4 @US4AfghanPeace @khabarnamaaf @ImranKhanPTI @Metmaeen @mujahidandarabi @Quickieleaks ohhh you wellcome bro
1074777418886455301,@realDonaldTrump @PeteHegseth @FoxNews you stand with real teirorsts
