id,text
968634295714803712,Stop everything and play this now! #BoardKings https://t.co/vikYbfaTL5 https://t.co/flvX2gAyOH https://t.co/vikYbfaTL5
923959526432428033,https://t.co/ubGRsb9tjb
906702181272875013,"RT @ChaseShermanUFC: #VanillaGorillaContest 

If @Amanda_Leoa wins tonight via Knockout, I'll follow 100 Random fans who Retweet this. 

#U…"
856444846520885248,"My Percula Clownfish:) 
#taptapfish
Download: https://t.co/LObcv0k1eI https://t.co/xTlTW77scS"
773255172193648640,"I've collected 12,670 gold coins!  https://t.co/0E9RygtV86 #android, #androidgames, #gameinsight"
773215519163940864,"I've harvested 690 of food!  https://t.co/0E9RygtV86 #android, #androidgames, #gameinsight"
773215019605561344,"I've collected 9,236 gold coins!  https://t.co/0E9RygtV86 #android, #androidgames, #gameinsight"
773215019576287232,"I've harvested 170 of food!  https://t.co/0E9RygtV86 #android, #androidgames, #gameinsight"
773143530290241536,"I've harvested 1,025 of food!  https://t.co/0E9RygtV86 #android, #androidgames, #gameinsight"
773142814402174976,"I've collected 7,125 gold coins!  https://t.co/0E9RygtV86 #android, #androidgames, #gameinsight"
