id,text
1073467157999177729,@MobilePunch Shame!!!!
1073097193467334656,"Issue based.... 
Nigeria is getting better in another government"
1066921255163564032,@JessBelll1 @YouKNOWWDaijah when with them ideas are discussed
1065832784017743873,@dejineroe @MobilePunch We must do all it takes to change this govt. God will help us
1061694823202279424,"@renoomokri So true uncle Reno,  God bless you for this insight"
1059856119194140672,@MobilePunch You should always do the needful
1055008850821169153,@PastorEAAdeboye @TheHGService Amen
1050803033179869184,@SilverbirdTV Nigeria is back again
1041955502878584837,@blake_tula One out of 100
1035837090649526277,"@abati1990 @abatimedia Why let him continue,  this is mornings"
