id,text
1071076520226156546,RT @MrDtAFC: In 1991 George Graham told the Arsenal players that it’s fashionable for the press to jump on the bandwagon and cause trouble…
1071019766964518912,"Everyone's year was different, but this is how 2018 sounded to me. Get yours.  #2018Wrapped @Spotify https://t.co/94K23CnAIf"
1063052470786682880,@ThreeCare Thanks for the extra info Lisa 👌
1063047391350284288,@ThreeCare Thanks for the clarification 😁👍
1063046507262283777,"@ThreeCare So the data used is taken from your unlimited data, with fair usage up to 60Gb and the right to throttle speeds after that?"
1063041622634577920,"@ThreeCare Is tethering permitted on Bill Pay, specifically the 3 Mini Flex Max plan?"
1058820592634343425,RT @Fallout: Follow + RT for a chance to win a #Fallout76ers shirt https://t.co/aROUPAbA4y
1058448831531102208,"RT @MavsGG: We're excited to announce our October giveaway! Make sure to follow the instructions below to enter, good luck.

🎉 Alienware 25…"
1058342885689569281,👋 Hey guys. I want an invitation pleaaase @mustseeapp https://t.co/u2lmliRyzp
1057429867237654528,@PaTi6op @Fallout Then you'll just have to download again and hope Bethesda extends the B.E.T.A times.
